country,date,gdp_real,gdp_yoy,gdp_qoq_ann,ip,ip_yoy,cpi_yoy,unemp,rate3m,epu_adjusted,nb_articles,rec_q
DEU,1995-07-01,544232.0,1.718591745728193,0.8102047298167214,70.33141333333333,1.3075685363828822,1.5521623742111412,8.266666666666667,4.403333333333333,92.31705266666665,121.66666666666667,1.0
DEU,1995-10-01,544451.3,0.6454268875432101,0.16127870985249704,69.45731333333333,-3.0957084308623948,1.46872196515709,8.433333333333334,4.013333333333333,169.82582,111.33333333333333,1.0
DEU,1996-01-01,540576.2,0.3257296345670069,-2.816725581894608,69.52455333333334,-1.7989012832545541,1.4551743838485898,8.566666666666666,3.44,136.06634666666667,119.0,1.0
DEU,1996-04-01,547961.3,0.8885632895824225,5.577619387247967,69.92798333333333,-1.5119449997160899,1.4504678086106078,8.766666666666667,3.3366666666666664,102.39583666666665,131.66666666666666,0.0
DEU,1996-07-01,550081.8,1.0748724808537613,1.5569279425964755,70.39865,0.10008466060508574,1.3630694398878207,9.0,3.263333333333333,82.979744,97.0,0.0
DEU,1996-10-01,555127.0,1.9608181668406166,3.7194723930140894,70.76846,1.88658883430118,1.530247818174968,9.299999999999999,3.1799999999999997,111.48819533333334,97.33333333333333,0.0
DEU,1997-01-01,552293.8,2.1676130025702456,-2.025903270978724,71.13827333333334,2.3258686462791576,1.7629748330205919,9.533333333333333,3.1966666666666668,100.49879066666666,91.0,0.0
DEU,1997-04-01,558436.1,1.9115948516801984,4.523337848706621,72.04599666666667,3.0267659843457104,1.5522264839950155,9.7,3.1799999999999997,122.609203,111.33333333333333,0.0
DEU,1997-07-01,560629.7,1.9175148132513975,1.5805274358467347,73.02095,3.743368997699566,2.322734995516037,9.7,3.236666666666667,95.10995466666667,100.33333333333333,0.0
DEU,1997-10-01,564797.7,1.7420698326689132,3.0071266492318616,74.13038666666667,4.751949564356672,2.1181943334474207,9.7,3.686666666666667,77.628103,96.33333333333333,0.0
DEU,1998-01-01,570190.4,3.240412983089791,3.874256012251487,75.74411333333335,6.481581526825276,1.248476535041269,9.666666666666666,3.533333333333333,79.71164466666667,146.33333333333334,1.0
